topic,Bunking,Debunking
JFK Assassination,232,225
COVID Lab Origin,150,145
Moon Landing Hoax,112,140
9/11 Inside Job,110,96
Global Elite Cabal,69,83
Government Hides Alien Contact,74,76
Stolen Elections,50,33
Alien Tech Cover-Up (Area 51),40,39
Big Pharma Suppresses Cures,40,36
Aliens Exist,29,21
Chemtrails,27,20
Trump as Russian Asset,19,27
Bigfoot / Cryptids,21,19
Epstein Murdered,22,15
AI Takeover,16,10
Celebrity Faked Deaths,12,12
Staged Trump Assassination,11,13
Vaccines Cause Autism,9,13
Mixed / Unclassified,915,949
