topic,S1,S2,S3,S4
JFK Assassination,181,86,78,112
COVID Lab Origin,110,86,62,37
Moon Landing Hoax,44,42,72,94
9/11 Inside Job,44,48,52,62
Global Elite Cabal,30,29,55,38
Government Hides Alien Contact,46,33,32,39
Stolen Elections,27,17,10,29
Alien Tech Cover-Up (Area 51),27,9,19,24
Big Pharma Suppresses Cures,21,14,30,11
Aliens Exist,15,5,1,29
Chemtrails,10,18,4,15
Trump as Russian Asset,19,15,9,3
Bigfoot / Cryptids,9,6,2,23
Epstein Murdered,5,2,4,26
AI Takeover,1,3,6,16
Celebrity Faked Deaths,5,4,6,9
Staged Trump Assassination,7,2,5,10
Vaccines Cause Autism,4,7,3,8
Mixed / Unclassified,464,369,344,687
