topic,condition,n,mean_change
JFK Assassination,Bunking,232,11.814655172413804
JFK Assassination,Debunking,225,13.928888888888894
COVID Lab Origin,Bunking,150,12.06666666666666
COVID Lab Origin,Debunking,145,19.89655172413793
Moon Landing Hoax,Bunking,112,1.25
Moon Landing Hoax,Debunking,140,13.364285714285723
9/11 Inside Job,Bunking,110,13.163636363636366
9/11 Inside Job,Debunking,96,21.270833333333336
Global Elite Cabal,Bunking,69,11.927536231884055
Global Elite Cabal,Debunking,83,12.50602409638554
Government Hides Alien Contact,Bunking,74,9.675675675675674
Government Hides Alien Contact,Debunking,76,15.71052631578947
Stolen Elections,Bunking,50,5.279999999999999
Stolen Elections,Debunking,33,9.636363636363635
Alien Tech Cover-Up (Area 51),Bunking,40,12.375
Alien Tech Cover-Up (Area 51),Debunking,39,4.384615384615383
Big Pharma Suppresses Cures,Bunking,40,9.524999999999995
Big Pharma Suppresses Cures,Debunking,36,9.944444444444446
Aliens Exist,Bunking,29,10.448275862068964
Aliens Exist,Debunking,21,17.761904761904763
Chemtrails,Bunking,27,10.222222222222221
Chemtrails,Debunking,20,21.8
Trump as Russian Asset,Bunking,19,13.842105263157894
Trump as Russian Asset,Debunking,27,18.92592592592593
Bigfoot / Cryptids,Bunking,21,22
Bigfoot / Cryptids,Debunking,19,27.57894736842105
Epstein Murdered,Bunking,22,7.045454545454545
Epstein Murdered,Debunking,15,3.800000000000001
AI Takeover,Bunking,16,15.125
AI Takeover,Debunking,10,10.599999999999998
Celebrity Faked Deaths,Bunking,12,6.5
Celebrity Faked Deaths,Debunking,12,27.083333333333332
Staged Trump Assassination,Bunking,11,15
Staged Trump Assassination,Debunking,13,9.538461538461538
Vaccines Cause Autism,Bunking,9,2.4444444444444446
Vaccines Cause Autism,Debunking,13,18.46153846153846
Mixed / Unclassified,Bunking,915,10.240437158469945
Mixed / Unclassified,Debunking,949,11.9030558482613
