ResponseId,study,study_factor,model_pooled,persuader,condition,direction,aligned_belief_change,belief_pre,compliant,persuaded
R_502HaARTEyTzBkH,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_bunk,bunk,-3,52,TRUE,0
R_5FSajbNJJT7TsiJ,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_bunk,bunk,11,59,TRUE,1
R_5gjAsLzBALW7N0p,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,-1,71,TRUE,0
R_3YXMcC5OBTGt0LN,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,20,70,TRUE,1
R_7w6OP3J6CtoKzjO,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,39,40,TRUE,1
R_5zv26jLvuaGa2uR,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_bunk,bunk,9,71,TRUE,1
R_5PkaSyZPnVUQ4F8,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,-1,50,TRUE,0
R_3QyWBdwj5SpRmaw,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_bunk,bunk,21,49,TRUE,1
R_7KoTyHVEkPi74UV,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,-3,72,TRUE,0
R_5dhxFRv6yt1BDvw,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,-2,61,TRUE,0
R_1jpjzUf1FOeXBLj,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,0,50,TRUE,0
R_3emeG94FgXa06Rm,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_bunk,bunk,-30,60,TRUE,0
R_5dcNpI3knvxX207,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_bunk,bunk,14,62,TRUE,1
R_3nOgYme1ZPqTKKZ,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_bunk,bunk,-5,57,TRUE,0
R_3R8k4j0QZtYTBdL,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_bunk,bunk,-1,71,TRUE,0
R_55HClmJtEob6QzU,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_bunk,bunk,34,61,TRUE,1
R_5jVun3tLe8kOFH6,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_bunk,bunk,29,71,TRUE,1
R_1OH8OgjQvUn71nK,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,22,52,TRUE,1
R_7LVwWhUK3eWwgjn,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,48,63,TRUE,1
R_7SlysEWMZZsU7t2,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,-60,40,TRUE,0
R_5oAPrSy4V0gnmp7,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_bunk,bunk,10,70,TRUE,1
R_1X4GO94gu8EJLqZ,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,6,71,TRUE,1
R_6C7uVySRybCnp5A,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,45,70,TRUE,1
R_3YEjKxXWzbkMRHP,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,0,50,TRUE,0
R_7zHBqDxKxL3CHiq,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_bunk,bunk,12,59,TRUE,1
R_6CygBTCXqpzXIe4,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_bunk,bunk,23,60,TRUE,1
R_5N9PenceXwxcJa1,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_bunk,bunk,15,70,TRUE,1
R_3qNKXCEnUhxVqWs,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_bunk,bunk,0,51,TRUE,0
R_6jjPg3mzwFIDROt,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,-1,30,TRUE,0
R_6p4vVkvhofIxhsJ,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,31,52,TRUE,1
R_7BpL6hMvvtdyWGt,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_bunk,bunk,7,42,TRUE,1
R_3qiFslY0KGpn6md,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,-7,71,TRUE,0
R_36zYDu4CovRrPSp,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,45,50,TRUE,1
R_3jvATOC5aTP9cyt,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,53,55,TRUE,1
R_51zouIwV7jqvIiM,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,31,50,TRUE,1
R_6EzS5nBK4ZRb8JZ,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,34,41,TRUE,1
R_6DjvZqrZEql3IQc,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_bunk,bunk,0,60,TRUE,0
R_1ftYj3dp3tg1wD7,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,-28,48,TRUE,0
R_3jU601f0GW943Hi,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_bunk,bunk,20,51,TRUE,1
R_3e36ESi8yVHULa2,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,11,47,TRUE,1
R_7P80p2SttoIJzZN,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,36,46,TRUE,1
R_6jlcU4tN7E5ZoqZ,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,44,50,TRUE,1
R_572sEqvsrOHocQx,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,27,48,TRUE,1
R_3JmFOsNdVZucvlL,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_bunk,bunk,31,50,TRUE,1
R_1cu7GOhhAlfH3Wr,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_debunk,debunk,-11,69,TRUE,0
R_7qNFJWHUQjFCduX,Study 1,Jailbroken,NA,Jailbroken,treatment_mid_bunk,bunk,9,72,TRUE,1
