outcome,contrast,estimate,se,t,p,ci_low,ci_high
Post weighted sharing,Gemini bunk - debunk,26.790782540235867,2.641440881657851,10.14248803608322,1.4807472754289224e-23,21.610229029316876,31.971336051154857
Post weighted sharing,GPT-5.2 bunk - debunk,2.5947696773302127,1.593202701231836,1.6286500614918509,0.10355914870495257,-0.5299157565879398,5.719455111248365
Post weighted sharing,Claude Opus 4.6 bunk - debunk,21.840975466626187,1.734732093895993,12.59040260076936,6.37720253269082e-35,18.438714033504013,25.24323689974836
Post weighted sharing,Grok 4 bunk - debunk,24.034698771897002,1.935052395957848,12.420696629250632,4.561889376490656e-34,20.239557054623415,27.82984048917059
Post LLM-coded stance,Gemini bunk - debunk,42.165306968081225,3.739583027040674,11.27540334395218,1.4800829206657625e-28,34.83101070779564,49.49960322836681
Post LLM-coded stance,GPT-5.2 bunk - debunk,2.8682127547236504,2.390111323043243,1.200033122754993,0.2302817210988916,-1.8194180349942384,7.555843544441539
Post LLM-coded stance,Claude Opus 4.6 bunk - debunk,33.308543075994805,2.319984095914524,14.357229058014198,2.2408310518520554e-44,28.758450042747423,37.858636109242184
Post LLM-coded stance,Grok 4 bunk - debunk,37.37581401459616,2.5829202354366805,14.470370978481737,5.1440387394796187e-45,32.31003473214752,42.4415932970448
Post sharing likelihood,Gemini bunk - debunk,3.7025745513415904,2.6353550406704676,1.4049623273529053,0.1602021090652257,-1.4660430403929086,8.87119214307609
Post sharing likelihood,GPT-5.2 bunk - debunk,-0.22915113381056562,1.8058028917127054,-0.12689709096280619,0.899035782416785,-3.770800911267783,3.3124986436466517
Post sharing likelihood,Claude Opus 4.6 bunk - debunk,2.536156068272219,1.8553729676755097,1.3669252018097597,0.17181655228719478,-1.1027135382748137,6.175025674819252
Post sharing likelihood,Grok 4 bunk - debunk,5.367469070056888,1.9753992140612668,2.717156629328504,0.006646551118205662,1.4931967344789112,9.241741405634865
Post focal belief,Gemini bunk - debunk,35.06118192962656,3.582947452455272,9.785569672700705,4.466624205565e-22,28.034088825575882,42.08827503367723
Post focal belief,GPT-5.2 bunk - debunk,2.7656012560051977,2.194684420915147,1.260136186163835,0.20778081527198153,-1.5387464812779514,7.069948993288347
Post focal belief,Claude Opus 4.6 bunk - debunk,37.1701035288376,2.3033449622807245,16.137445383791984,7.06355892946372e-55,32.65264417017434,41.68756288750086
Post focal belief,Grok 4 bunk - debunk,36.38788990158389,2.5259167408257905,14.405815248561085,1.192460135557105e-44,31.433909318167938,41.341870484999845
